,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539945,539945,381416,,,7.5,6.0,,,7.8,7.0,5.25,7.8,5.25,2.0
539947,539947,381418,,,8.0,7.42,,,7.4,7.75,6.25,9.2,8.0,2.0
539952,539952,381423,,,8.25,7.75,,,7.0,6.75,7.25,9.0,7.75,2.0
539953,539953,381424,,,8.5,7.0,,,4.6,6.5,7.0,9.2,5.5,2.0
539954,539954,381425,,,6.0,5.67,,,8.0,7.0,5.75,8.0,5.25,2.0
539955,539955,381426,,,6.75,6.67,,,5.0,6.75,5.25,8.0,8.0,2.0
539956,539956,381427,,,6.75,6.17,,,7.6,6.75,6.25,8.2,5.5,2.0
539957,539957,381428,,,6.75,6.5,,,8.2,6.25,5.75,7.8,7.0,2.0
539960,539960,381431,,,7.5,7.17,,,5.8,7.5,6.25,8.8,7.75,2.0
539963,539963,381434,,,5.75,5.75,,,5.0,5.75,5.5,7.2,6.0,2.0
539965,539965,381436,,,6.75,6.5,,,8.0,7.75,7.0,8.8,5.75,2.0
539966,539966,381437,,,6.25,7.08,,,6.4,6.0,7.25,7.6,7.75,2.0
539967,539967,381438,,,7.0,6.58,,,6.0,6.5,6.25,8.8,6.5,2.0
539968,539968,381439,,,5.5,5.42,,,8.0,8.0,4.25,8.0,6.5,2.0
539972,539972,381443,,,4.0,5.0,,,7.8,6.75,4.25,7.8,6.75,2.0
539976,539976,381447,,,5.25,5.5,,,8.4,6.0,4.0,8.2,7.25,2.0
539977,539977,381448,,,8.25,7.17,,,7.6,6.25,5.0,8.4,8.25,2.0
539978,539978,381449,,,7.25,6.25,,,7.4,6.5,4.75,8.0,6.75,2.0
539979,539979,381450,,,4.5,4.58,,,8.2,5.5,3.5,6.2,5.75,2.0
