No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539775,2000238,,,5.25,4.67,,,4.4,7.25,5.0,7.4,3.75,2.0
539776,2000239,8.25,9.0,,,8.58,8.5,7.4,6.75,,8.4,,2.0
539777,2000240,,,6.75,6.67,,,7.4,6.5,5.5,8.8,7.75,2.0
539778,2000241,7.0,8.5,,,7.0,5.5,7.4,5.5,,6.0,,2.0
539779,2000242,,,6.75,6.42,,,6.6,5.5,7.5,7.2,5.0,2.0
539780,2000243,,,8.25,7.42,,,6.0,4.25,6.25,9.2,7.75,2.0
539781,2000244,,,6.0,7.0,,,6.2,7.25,7.25,8.6,7.75,2.0
539782,2000245,8.25,8.0,,,7.0,4.75,3.6,5.25,,4.4,,2.0
539783,2000246,,,5.75,6.25,,,5.2,5.75,6.25,7.8,6.75,2.0
539784,2000247,,,7.5,6.0,,,5.0,6.25,4.5,8.0,6.0,2.0
539785,2000248,,,6.25,6.08,,,5.8,7.0,5.25,8.6,6.75,2.0
539786,2000249,,,6.25,5.33,,,4.6,7.75,2.75,8.0,7.0,2.0
539787,2000250,7.75,9.0,,,7.33,5.25,7.0,7.25,,7.4,,2.0
539788,2000251,7.25,8.75,,,7.33,6.0,6.6,6.0,,6.8,,2.0
539789,2000252,8.0,8.25,,,7.92,7.5,7.6,7.75,,7.4,,2.0
539790,2000253,5.0,8.75,,,6.67,6.25,7.0,6.25,,8.0,,2.0
539791,2000254,,,8.5,6.75,,,7.2,6.75,4.75,7.8,7.0,2.0
539792,2000255,7.5,7.75,,,7.58,7.5,6.0,8.25,,8.2,,2.0
539793,2000256,6.0,7.5,,,6.17,5.0,7.2,7.25,,7.0,,2.0
539794,2000257,,,5.0,6.08,,,8.4,7.25,5.5,7.4,7.75,2.0
539795,2000258,7.25,7.0,,,7.33,7.75,9.2,7.75,,8.6,,2.0
539796,2000259,,,6.75,6.25,,,5.2,6.25,5.0,8.0,7.0,2.0
539797,2000260,,,4.75,5.42,,,4.8,6.75,5.75,7.2,5.75,2.0
539798,2000261,,,6.25,6.33,,,7.2,6.25,5.25,7.8,7.5,2.0
539799,2000262,,,7.25,7.08,,,8.0,6.5,8.0,8.0,6.0,2.0
539800,2000263,,,4.75,5.42,,,7.2,6.5,5.0,6.8,6.5,2.0
539801,2000264,7.75,8.0,,,6.83,4.75,7.6,8.0,,7.2,,2.0
539802,2000265,7.25,8.0,,,7.42,7.0,8.4,8.0,,8.2,,2.0
539803,2000266,,,7.75,6.08,,,6.0,6.5,5.25,9.0,5.25,2.0
539804,2000267,6.25,6.75,,,5.42,3.25,8.4,7.25,,7.6,,2.0
539805,2000268,,,8.0,6.58,,,8.6,6.75,5.25,8.6,6.5,2.0
539806,2000269,,,8.5,6.75,,,5.8,4.25,7.25,7.4,4.5,2.0
539807,2000270,7.75,7.25,,,6.83,5.5,6.2,8.0,,8.2,,2.0
539808,2000271,,,7.25,6.83,,,6.0,8.25,6.75,8.2,6.5,2.0
539809,2000272,,,5.75,5.58,,,8.2,8.0,4.5,8.0,6.5,2.0
539810,2000273,,,5.0,5.0,,,7.6,7.5,4.75,8.0,5.25,2.0
539811,2000274,8.25,8.75,,,7.92,6.75,9.6,8.25,,7.6,,2.0
539812,2000275,,,6.25,6.25,,,8.6,6.5,5.0,8.2,7.5,2.0
539813,2000276,,,4.5,6.08,,,5.6,7.25,6.0,6.4,7.75,2.0
539814,2000277,,,3.75,4.58,,,8.0,7.5,4.25,8.8,5.75,2.0
539815,2000278,,,7.0,6.92,,,6.4,7.0,6.25,8.0,7.5,2.0
539816,2000279,,,8.75,7.92,,,7.8,6.75,6.25,9.6,8.75,2.0
539817,2000280,,,6.0,6.0,,,4.8,7.25,5.5,7.4,6.5,2.0
539818,2000281,7.5,8.75,,,7.25,5.5,5.4,7.5,,8.2,,2.0
539819,2000282,6.75,8.25,,,6.67,5.0,7.8,7.5,,8.4,,2.0
539820,2000283,,,6.75,7.42,,,8.8,7.75,6.75,8.6,8.75,2.0
539821,2000284,,,6.25,6.75,,,6.8,7.0,7.5,7.8,6.5,2.0
539822,2000285,,,8.5,6.92,,,7.6,8.0,6.25,8.0,6.0,2.0
539823,2000286,6.25,8.5,,,6.17,3.75,4.8,4.25,,6.0,,2.0
539824,2000287,6.5,8.25,,,6.83,5.75,7.2,7.75,,6.4,,2.0
539825,2000288,,,7.5,7.17,,,8.6,8.25,5.75,8.6,8.25,2.0
539826,2000289,,,6.0,5.25,,,4.8,6.5,4.25,7.6,5.5,2.0
539827,2000290,,,4.5,6.0,,,8.8,8.5,6.0,8.2,7.5,2.0
539828,2000291,,,7.75,5.92,,,5.4,7.25,5.0,7.2,5.0,2.0
539829,2000292,,,6.0,5.75,,,9.4,5.75,5.5,8.6,5.75,2.0
539830,2000293,,,6.5,6.0,,,4.8,6.5,4.75,8.2,6.75,2.0
539831,2000294,7.0,8.25,,,6.5,4.25,4.2,5.5,,7.6,,2.0
539832,2000295,,,7.75,6.92,,,7.2,7.5,5.75,7.4,7.25,2.0
