No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
273134,1000273,7.25,7.75,,,6.92,5.75,7.4,8.0,,8.2,,1.0
273135,1000274,7.25,7.75,,,6.67,5.0,9.2,7.5,,8.6,,1.0
273136,1000275,5.25,,,,,4.0,,6.0,,3.4,,1.0
273137,1000276,6.25,6.75,,,5.83,4.5,8.0,7.0,,7.2,,1.0
273138,1000277,7.25,8.25,,,5.75,1.75,2.4,7.5,,6.0,,1.0
273139,1000278,,,3.0,4.0,,,6.0,4.25,2.75,7.8,6.25,1.0
273140,1000279,7.5,9.0,,,8.33,8.5,6.6,7.25,,7.8,,1.0
273141,1000280,,,7.75,6.67,,,6.0,6.5,8.0,7.2,4.25,1.0
273142,1000281,6.75,7.25,,,6.5,5.5,6.6,7.25,,6.6,,1.0
273143,1000282,6.75,8.0,,,7.33,7.25,8.6,8.0,,7.2,,1.0
273144,1000283,,,7.0,6.5,,,5.2,6.5,5.0,8.6,7.5,1.0
273145,1000284,7.0,9.25,,,6.33,2.75,7.6,8.5,,7.4,,1.0
273146,1000285,6.0,8.75,,,6.33,4.25,8.2,8.5,,8.0,,1.0
273147,1000286,9.25,9.5,,,8.83,7.75,6.0,7.0,,6.0,,1.0
273148,1000287,6.5,7.5,,,6.58,5.75,5.6,8.25,,7.6,,1.0
273149,1000288,6.25,6.5,,,6.17,5.75,5.6,7.5,,6.4,,1.0
273150,1000289,7.0,6.75,,,6.42,5.5,6.4,8.5,,8.2,,1.0
273151,1000290,7.75,8.5,,,6.83,4.25,6.0,8.5,,9.4,,1.0
273152,1000291,7.75,8.0,,,7.25,6.0,7.0,7.5,,8.8,,1.0
273153,1000292,8.0,8.75,,,7.0,4.25,7.6,5.75,,7.0,,1.0
273154,1000293,4.75,7.25,,,5.92,5.75,3.2,5.0,,5.0,,1.0
273155,1000294,7.25,8.75,,,6.08,2.25,4.6,6.5,,7.4,,1.0
273156,1000295,8.5,8.25,,,8.42,8.5,6.0,7.75,,8.6,,1.0
273157,1000296,,,7.5,7.08,,,7.0,8.0,6.25,9.0,7.5,1.0
273158,1000297,,,,,,6.25,,4.0,,3.6,,1.0
273159,1000298,,,5.5,6.08,,,6.8,7.0,4.75,8.6,8.0,1.0
273160,1000299,7.5,8.25,,,6.42,3.5,6.8,7.0,,5.4,,1.0
273161,1000300,7.25,8.5,,,8.25,9.0,8.4,7.75,,8.8,,1.0
273162,1000301,7.75,9.5,,,8.25,7.5,9.4,8.5,,9.0,,1.0
273163,1000302,7.75,7.75,,,7.0,5.5,4.8,6.25,,7.8,,1.0
273164,1000303,7.75,8.5,,,7.08,5.0,8.0,8.5,,8.0,,1.0
273165,1000304,,,6.0,5.08,,,5.8,7.25,5.5,6.4,3.75,1.0
273166,1000305,7.25,7.5,,,7.0,6.25,5.2,7.0,,6.8,,1.0
273167,1000306,5.75,7.25,,,5.42,3.25,6.4,8.0,,5.8,,1.0
273168,1000307,7.5,8.5,,,7.0,5.0,8.2,8.25,,9.0,,1.0
273169,1000308,7.25,7.75,,,6.58,4.75,5.0,7.0,,6.8,,1.0
273170,1000309,,,,,,8.5,,8.25,,8.4,,1.0
273171,1000310,7.75,8.75,,,8.08,7.75,8.4,7.0,,8.0,,1.0
273172,1000311,6.75,8.75,,,7.33,6.5,8.4,4.75,,8.0,,1.0
273173,1000312,5.5,,,,,4.0,,2.5,,3.0,,1.0
273174,1000313,,,8.25,7.5,,,6.0,6.0,5.75,9.2,8.5,1.0
273175,1000314,8.75,9.0,,,8.83,8.75,6.6,8.0,,8.0,,1.0
273176,1000315,7.25,7.75,,,7.0,6.0,8.2,7.0,,8.8,,1.0
273177,1000316,,,6.0,5.0,,,8.0,7.75,6.0,8.0,3.0,1.0
273178,1000317,8.5,8.5,,,7.83,6.5,5.6,7.5,,8.2,,1.0
273179,1000318,6.75,9.0,,,6.92,5.0,8.8,8.0,,7.0,,1.0
273180,1000319,4.0,,,,,4.25,,4.25,,2.2,,1.0
273181,1000320,8.0,8.75,,,7.25,5.0,6.0,7.25,,6.8,,1.0
273182,1000321,,,,,,,6.4,8.0,,5.8,,1.0
273183,1000322,8.0,9.25,,,8.33,7.75,7.6,8.5,,8.4,,1.0
273184,1000323,7.75,9.5,,,7.33,4.75,8.4,8.25,,7.4,,1.0
273185,1000324,9.0,8.25,,,8.58,8.5,8.8,8.5,,9.0,,1.0
273186,1000325,6.75,8.75,,,7.0,5.5,4.8,8.0,,7.4,,1.0
273187,1000326,8.75,7.5,,,7.92,7.5,8.0,7.75,,8.6,,1.0
273188,1000327,7.0,8.0,,,6.33,4.0,7.2,8.25,,8.6,,1.0
