,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
573343,573343,573344,,,4.75,5.25,,,5.2,6.5,4.75,7.4,6.25,2.0
573345,573345,573346,,,6.25,5.67,,,4.8,8.0,5.25,8.4,5.5,2.0
573347,573347,573348,,,3.5,4.42,,,3.0,4.0,5.25,6.6,4.5,2.0
573348,573348,573349,,,4.5,4.42,,,5.6,6.5,2.25,7.4,6.5,2.0
573349,573349,573350,,,7.75,7.17,,,5.2,5.25,7.0,7.6,6.75,2.0
573350,573350,573351,,,5.5,6.42,,,7.0,7.25,5.5,8.0,8.25,2.0
573352,573352,573353,,,7.5,6.58,,,4.6,6.5,4.75,7.0,7.5,2.0
573353,573353,573354,,,4.75,6.25,,,5.4,6.75,6.75,7.4,7.25,2.0
573357,573357,573358,,,6.0,6.17,,,3.0,7.25,5.5,7.2,7.0,2.0
573358,573358,573359,,,6.0,5.17,,,5.6,4.25,5.0,7.6,4.5,2.0
