Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000246,"[1,6)",>=7,>=7,"[6,7)","[6,7)",>=7, 6.73 ,TB
2000247,>=7,>=7,>=7,>=7,>=7,>=7, 7.79 ,K
2000248,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.24 ,TB
2000249,"[6,7)","[1,6)","[1,6)","[1,6)",>=7,>=7, 6.21 ,TB
2000250,>=7,>=7,>=7,>=7,>=7,>=7, 8.00 ,G
2000251,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.96 ,TB
2000252,>=7,"[1,6)","[1,6)","[1,6)","[1,6)",>=7, 5.75 ,TB
2000253,"[6,7)",>=7,>=7,"[6,7)",>=7,>=7, 7.63 ,K
2000254,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.33 ,K
2000255,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.04 ,K
2000256,"[6,7)",>=7,"[6,7)",>=7,"[6,7)",>=7, 7.21 ,K
2000257,"[1,6)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.23 ,TB
2000258,"[1,6)",>=7,>=7,>=7,"[6,7)",>=7, 7.08 ,TB
2000259,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.23 ,TB
2000260,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.64 ,TB
2000261,>=7,>=7,>=7,"[1,6)","[1,6)",>=7, 6.94 ,TB
2000262,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.68 ,K
2000263,>=7,>=7,>=7,>=7,>=7,>=7, 8.20 ,G
2000264,>=7,>=7,>=7,>=7,>=7,>=7, 7.88 ,K
2000265,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.74 ,K
2000266,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.78 ,K
2000267,"[1,6)","[1,6)",>=7,"[1,6)",>=7,>=7, 6.07 ,TB
2000268,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.42 ,TB
2000269,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.48 ,TB
2000270,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.93 ,TB
2000271,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.83 ,TB
2000272,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.23 ,K
2000273,"[1,6)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.72 ,TB
2000274,"[1,6)","[6,7)",>=7,"[1,6)","[1,6)","[6,7)", 6.00 ,TB
2000275,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.54 ,TB
2000276,>=7,>=7,>=7,>=7,>=7,>=7, 8.32 ,G
2000277,"[6,7)",>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.77 ,TB
2000278,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,>=7, 5.37 ,TB
2000279,"[6,7)","[6,7)","[6,7)","[1,6)",>=7,>=7, 6.51 ,TB
2000280,>=7,"[1,6)","[6,7)","[1,6)","[1,6)",>=7, 5.86 ,TB
2000281,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.23 ,K
2000282,>=7,"[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.54 ,TB
2000283,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 6.70 ,TB
